algoName,Frame,hyperparameters,configData,mae,mape,r2
LinearRegression,data3,{'pca__n_components': 5},conf6,0.8025204613219982,0.8025204613219982,0.2070312227047587
LinearRegression,data1,{'pca__n_components': 10},conf1,0.7368048353547526,0.7368048353547526,0.3019652947248943
LinearRegression,data1,{'pca__n_components': 30},conf2,0.8456044535006981,0.8456044535006981,0.13304995925817598
LinearRegression,data1,{'pca__n_components': 10},conf3,0.7245570562163955,0.7245570562163955,0.37815691923042605
LinearRegression,data1,{'pca__n_components': 5},conf4,0.8026814090142355,0.8026814090142355,0.20678856059612327
LinearRegression,data1,{'pca__n_components': 30},conf5,0.8342117065644534,0.8342117065644534,0.1485356503380546
LinearRegression,data1,{'pca__n_components': 5},conf6,0.8025204613218856,0.8025204613218856,0.20703122270599805
LinearRegression,data2,{'pca__n_components': 10},conf1,0.7414725993621486,0.7414725993621486,0.33396272967562723
LinearRegression,data2,{'pca__n_components': 5},conf2,0.9640500662616295,0.9640500662616295,-0.0070335173977564835
LinearRegression,data2,{'pca__n_components': 10},conf3,0.7245570627063084,0.7245570627063084,0.3781568858380271
LinearRegression,data2,{'pca__n_components': 5},conf4,0.8026814143470927,0.8026814143470927,0.20678854932061463
LinearRegression,data2,{'pca__n_components': 5},conf5,0.9640458255839329,0.9640458255839329,-0.007039519587926479
LinearRegression,data2,{'pca__n_components': 5},conf6,0.8025204613224063,0.8025204613224063,0.2070312227046881
LinearRegression,data3,{'pca__n_components': 10},conf1,0.7062065382615657,0.7062065382615657,0.3053306698248529
LinearRegression,data3,{'pca__n_components': 5},conf2,0.903106661992812,0.903106661992812,-0.012642096278687731
LinearRegression,data3,{'pca__n_components': 10},conf3,0.7245570371893011,0.7245570371893011,0.37815689428205146
LinearRegression,data3,{'pca__n_components': 5},conf4,0.8026814109189124,0.8026814109189124,0.20678855647134364
LinearRegression,data3,{'pca__n_components': 5},conf5,0.9030369427182665,0.9030369427182665,-0.012594077733604658
LinearRegression,data3,{'pca__n_components': 5},conf6,0.8025204613225855,0.8025204613225855,0.20703122270479535
