,Unnamed: 0,id,speed,loss,mae,mape,me,difference
148,148,12.0,3.5,0.0602632537484169,0.0602632537484169,1.7218072414398191,3.524410486221313,-0.02441048622131348
157,157,13.0,3.0,0.06979896873235703,0.06979896873235703,2.326632261276245,3.062517642974853,-0.06251764297485353
27,27,2.0,3.7,0.07338924705982207,0.07338924705982207,1.9834930896759035,3.688645839691162,0.011354160308838068
164,164,13.0,5.2,0.07421005517244339,0.07421005517244339,1.4271163940429688,5.157069206237793,0.042930793762207216
113,113,9.0,3.5,0.08346673846244812,0.08346673846244812,2.3847639560699463,3.478267192840576,0.021732807159423828
112,112,9.0,3.2,0.08917150646448135,0.08917150646448135,2.786609411239624,3.2332427501678467,-0.0332427501678465
122,122,10.0,3.5,0.0996357798576355,0.0996357798576355,2.8467366695404053,3.427748680114746,0.0722513198852539
38,38,3.0,3.5,0.1008940190076828,0.1008940190076828,2.882686138153076,3.4963393211364746,0.0036606788635253906
134,134,11.0,3.5,0.10091567039489746,0.10091567039489746,2.8833048343658447,3.47601318359375,0.02398681640625
111,111,9.0,3.0,0.1040588840842247,0.1040588840842247,3.4686293601989746,3.080616235733032,-0.08061623573303223
51,51,4.0,3.5,0.11028477549552916,0.11028477549552916,3.1509935855865483,3.4032518863677983,0.09674811363220216
86,86,7.0,4.2,0.11852918565273285,0.11852918565273285,2.8221237659454346,4.297441005706787,-0.09744100570678693
75,75,6.0,4.7,0.12130485475063325,0.12130485475063325,2.5809545516967773,4.677774906158447,0.022225093841552912
59,59,5.0,3.2,0.12200651317834856,0.12200651317834856,3.8127031326293945,3.2522952556610107,-0.05229525566101057
52,52,4.0,4.0,0.12376811355352403,0.12376811355352403,3.0942025184631348,4.02790117263794,-0.027901172637939453
26,26,2.0,3.5,0.12682121992111206,0.12682121992111206,3.6234636306762695,3.4278032779693604,0.07219672203063965
70,70,6.0,3.2,0.12813150882720947,0.12813150882720947,4.0041093826293945,3.3085744380950928,-0.1085744380950926
57,57,4.0,5.5,0.12990574538707733,0.12990574538707733,2.3619225025177,5.479782104492188,0.0202178955078125
149,149,12.0,4.0,0.13530310988426208,0.13530310988426208,3.3825774192810063,4.052771091461182,-0.05277109146118164
65,65,5.0,5.0,0.1376013159751892,0.1376013159751892,2.752026319503784,5.024964809417725,-0.02496480941772461
121,121,10.0,3.0,0.13916835188865662,0.13916835188865662,4.63894510269165,3.0261526107788086,-0.026152610778808597
133,133,11.0,3.2,0.1420043557882309,0.1420043557882309,4.437635898590088,3.0757181644439697,0.12428183555603045
39,39,3.0,3.7,0.1427663266658783,0.1427663266658783,3.8585491180419917,3.701729536056519,-0.001729536056518377
96,96,8.0,3.2,0.14937825500965118,0.14937825500965118,4.668070793151856,3.2646987438201904,-0.06469874382019025
